Team Number,Country,State,City,Postal Code,State Code,fips
5000,USA,Massachusetts,Hingham,02043,MA,"m25021,m25023"
5002,USA,Tennessee,Collierville,38017,TN,"t47047,t47157"
5003,USA,Wisconsin,Onalaska,54650,WI,w55063
5005,USA,Tennessee,Chattanooga,37411,TN,t47065
5006,USA,Arkansas,Fayetteville,72753,AR,a05143
5010,USA,Indiana,Fishers,46038,IN,i18057
5012,USA,California,Palmdale,93550,CA,c06037
5013,USA,Missouri,Kansas City,64153,MO,m29165
5016,USA,New York,Huntington,11743,NY,n36103
5019,USA,Wisconsin,West Salem,54669,WI,w55063
5022,USA,Tennessee,Jonesborough,37659,TN,"t47163,t47179"
5025,USA,California,San Diego,92130,CA,c06073
5026,USA,California,Burlingame,94010,CA,c06081
5027,USA,California,San Jose,95111,CA,c06085
5030,USA,New York,Utica,13502,NY,"n36043,n36065"
5041,USA,Iowa,West Branch,52358,IA,"i19031,i19103"
5045,USA,Tennessee,Memphis,38117,TN,t47157
5046,USA,Michigan,Memphis,48041,MI,"m26099,m26147"
5047,USA,Texas,El Paso,79907,TX,t48141
5048,USA,Michigan,Imlay City,48444,MI,"m26087,m26147"
5049,USA,Nevada,Las Vegas,89156,NV,n32003
5050,USA,Michigan,Carleton,48117,MI,"m26115,m26163"
5052,USA,Texas,Cedar Park,78613,TX,"t48453,t48491"
5053,USA,Michigan,Waterford,48329,MI,m26125
5056,USA,Michigan,Buchanan,49107,MI,m26021
5057,USA,Texas,Dallas,75203,TX,t48113
5058,USA,Tennessee,Chattanooga,37404,TN,t47065
5059,USA,Arizona,Globe,85501,AZ,a04007
5060,USA,Missouri,Farmington,63640,MO,"m29123,m29186,m29187"
5063,USA,South Carolina,Aynor,29511,SC,s45051
5065,USA,Michigan,Detroit,48212,MI,m26163
5066,USA,Michigan,Saline,48176,MI,"m26091,m26161"
5067,USA,Michigan,Ann Arbor,48108,MI,m26161
5069,USA,Michigan,Edwardsburg,49112,MI,m26027
5070,USA,Texas,Houston,77245,TX,t48201
5071,USA,Utah,Draper,84020,UT,"u49035,u49049"
5072,USA,Michigan,De Tour Village,49725,MI,m26033
5074,USA,Georgia,Norcross,30093,GA,"g13089,g13135"
5082,USA,Missouri,Kansas City,64118,MO,"m29047,m29095,m29165"
5084,USA,Michigan,Corunna,48817,MI,m26155
5085,USA,Oregon,Blachly,97412,OR,o41039
5086,USA,Michigan,Cadillac,49601,MI,"m26085,m26113,m26165"
5089,USA,California,Los Angeles,90042,CA,c06037
5090,USA,Michigan,Trenton,48183,MI,m26163
5096,USA,Wisconsin,Germantown,53022,WI,"w55089,w55131,w55133"
5098,USA,Missouri,Kansas City,64116,MO,m29047
