Team Number,Country,State,City,Postal Code,State Code,fips
237,USA,Connecticut,Watertown,06795,CT,c09005
238,USA,New Hampshire,Manchester,03103,NH,"c33011,c33015"
240,USA,Michigan,Monroe,48162,MI,c26115
244,USA,Michigan,Grandville,49418,MI,"c26081,c26139"
245,USA,Michigan,Rochester Hills,48306,MI,"c26099,c26125"
246,USA,Massachusetts,Boston,02215,MA,"c25021,c25025"
247,USA,Michigan,Berkley,48072,MI,c26125
250,USA,New York,Colonie,12205,NY,c36001
253,USA,California,Millbrae,94030,CA,c06081
254,USA,California,San Jose,95126,CA,c06085
256,USA,California,San Jose,95125,CA,c06085
263,USA,New York,Ronkonkoma,11779,NY,c36103
269,USA,Wisconsin,Oconomowoc,53066,WI,"c55027,c55055,c55131,c55133"
271,USA,New York,Bay Shore,11706,NY,c36103
272,USA,Pennsylvania,Lansdale,19446,PA,c42091
279,USA,Ohio,Maumee,43537,OH,c39095
280,USA,Michigan,Taylor,48180,MI,c26163
281,USA,South Carolina,Greenville,29607,SC,c45045
283,USA,South Carolina,Greenville,29609,SC,c45045
287,USA,New York,Mastic Beach,11951,NY,c36103
288,USA,Michigan,Grandville,49418,MI,"c26081,c26139"
291,USA,Pennsylvania,Erie,16508,PA,c42049
292,USA,Indiana,Russiaville,46979,IN,"c18015,c18023,c18067,c18159"
293,USA,New Jersey,Pennington,08534,NJ,c34021
294,USA,California,Redondo Beach,90277,CA,c06037
299,USA,California,Cupertino,95014,CA,c06085
302,USA,Michigan,Lake Orion,48360,MI,c26125
303,USA,New Jersey,Bridgewater,08807,NJ,c34035
308,USA,Michigan,Walled Lake,48390,MI,c26125
313,USA,Michigan,Wayne,48184,MI,c26163
314,USA,Michigan,Flint,48532,MI,c26049
316,USA,New Jersey,Carneys Point,08069,NJ,c34033
319,USA,New Hampshire,Alton,03809,NH,"c33001,c33017"
321,USA,Pennsylvania,Philadelphia,19141,PA,c42101
322,USA,Michigan,Flint,48504,MI,c26049
323,USA,Arkansas,Mountain Home,72653,AR,"c05005,c05089"
324,USA,Texas,Friendswood,77546,TX,"c48039,c48167,c48201"
329,USA,New York,Medford,11763,NY,c36103
330,USA,California,Hermosa Beach,90254,CA,c06037
333,USA,New York,Brooklyn,11223,NY,c36047
334,USA,New York,Brooklyn,11217,NY,c36047
335,USA,New York,Brooklyn,11201,NY,c36047
337,USA,West Virginia,Logan,25601,WV,c54045
339,USA,Virginia,Stafford,22556,VA,"c51061,c51179"
340,USA,New York,Churchville,14428,NY,"c36037,c36055"
341,USA,Pennsylvania,Ambler,19002,PA,c42091
342,USA,South Carolina,North Charleston,29418,SC,"c45019,c45035"
343,USA,South Carolina,Seneca,29672,SC,c45073
346,USA,Virginia,Chesterfield,23832,VA,c51041
348,USA,Massachusetts,Norwell,02061,MA,c25023
352,USA,New York,Carle Place,11514,NY,c36059
353,USA,New York,Plainview,11803,NY,c36059
354,USA,New York,Brooklyn,11201,NY,c36047
358,USA,New York,Hauppauge,11788,NY,c36103
359,USA,Hawaii,Waialua,96791,HI,c15003
360,USA,Washington,Tacoma,98405,WA,c53053
364,USA,Mississippi,Gulfport,39507,MS,c28047
365,USA,Delaware,Wilmington,19808,DE,c10003
368,USA,Hawaii,Honolulu,96814,HI,c15003
378,USA,New York,Newfane,14108,NY,c36063
379,USA,Ohio,Girard,44420,OH,c39155
384,USA,Virginia,Henrico,23294,VA,c51087
386,USA,Florida,Melbourne,32901,FL,c12009
395,USA,New York,Bronx,10456,NY,c36005
399,USA,California,Lancaster,93536,CA,"c06029,c06037"
401,USA,Virginia,Christiansburg,24073,VA,"c51121,c51750"
418,USA,Texas,Austin,78724,TX,c48453
422,USA,Virginia,Richmond,23220,VA,c51760
423,USA,Pennsylvania,Cheltenham,19095,PA,"c42091,c42101"
433,USA,Pennsylvania,Flourtown,19031,PA,c42091
435,USA,North Carolina,Raleigh,27603,NC,"c37101,c37183"
