County,Teams
c55109,"2175,2207,2501,2508,2532,3007,3130,3206,3454,3883,3926,4506,5290,6912"
c29127,"4809"
c13227,"832,1746,3815,4516,5608,6341,6944,7449,7451"
c13225,"3635"
c05079,"7263,7878"
c13221,"5132"
c05075,"6055,7075"
c05077,"7568,7868,7908"
c05071,"7106"
c05073,"6586"
c48317,"4301"
c08087,"4386"
c48315,"3037"
c48313,"4295"
c48311,"7088"
c08085,"1332,4944"
c48319,"6935"
c55135,"93,1716,6318"
c55137,"7915"
c48489,"2721"
c02150,"568"
c48487,"3457"
c48485,"3457"
c48483,"4694"
c48481,"3834"
c02158,"568"
c13313,"5900,6887"
c13311,"4509,6910,7060"
c13317,"7676"
c13315,"7499"
c13319,"4941"
c02050,"568"
c48003,"4301"
c48001,"4295"
c48007,"3834"
c48005,"2582,4295"
c54079,"3492"
c05105,"6131,6640,7767,7804"
c05107,"7798,7846,7908"
c05101,"7260"
c05103,"6855"
c05109,"6840"
c20101,"3172"
c13009,"4941"
c13007,"6919"
c13005,"3329"
c13003,"7499"
c13001,"3998"
c48179,"4694"
c48177,"3679"
c48175,"3834"
c48173,"3366"
c48171,"7621"
c06035,"5480"
c18009,"1720"
c06037,"4,207,294,330,399,580,589,597,599,606,687,691,696,702,848,867,968,980,1138,1159,1160,1197,1452,1515,1661,1759,1836,2339,2404,2429,2584,2637,2659,2710,3328,3408,3473,3759,3993,4019,4079,4123,4201,4415,4501,4578,4964,4999,5012,5089,5107,5124,5285,5500,5510,5634,5669,5678,5802,5810,5851,5857,5869,6000,6060,6658,6904,6938,7042,7185,7415,7455,7607,7871"
c06031,"1323,1422,1671,3303,3495,3970,5134,5817,6305,6926,7057,7663"
c06033,"2551,5728,6814,6883,6918"
c29137,"4809"
c29135,"4522"
c06039,"1323,1422"
c20109,"4386"
c35055,"4153"
c35057,"7540"
c35051,"1164"
c35053,"6974"
c35059,"4694"
c02020,"568"
c29223,"5060"
c29221,"7117"
c28089,"590"
c29227,"7785"
c29225,"7662"
c28085,"7836"
c28087,"590"
c29229,"3284,7662"
c28081,"5002"
c28083,"6068"
c26021,"1940,2474,2959,3452,3620,4237,4409,5056,5182,5535,6627,7814"
c17161,"648,6317"
c26023,"5501,5685,6053,6092,6425,7209"
c17163,"1208,4246,7452,7496"
c26025,"3658,4327,4408,4453,5205,5685,5710,6580,7203,7209,7219,7811"
c17165,"4187"
